# ClearHDR_AllPixel 4-lane/10-bit/15fps deltas vs AllPixel (from IMX678_Standard_Register_Setting_Ver3.0.xlsx)
addr,allpixel,clearhdr
0x3015,0x03,0x05
0x301A,0x00,0x08
0x3028,0xCA,0x94
0x3029,0x08,0x11
0x302C,0x28,0x4C
0x302D,0x05,0x04
0x3040,0x01,0x03
0x3050,0x03,0x06
0x306B,0x00,0x04
0x3081,0x00,0x02
0x355A,0x64,0x00
0x3A64,0x00,0x01
0x3C37,0x10,0x30
0x3CF2,0xFF,0x78
0x3CF3,0x03,0x00
0x3CF4,0x00,0xA5
0x3EB4,0x0B,0x7B
0x3EB5,0x02,0x00
0x3EB6,0x4D,0xA5
0x3EB7,0x42,0x40
0x3F24,0x10,0x17
0x3F4C,0x00,0x2D
0x4420,0x0B,0xFF
0x4421,0x02,0x03
0x4422,0x4D,0x00
0x4423,0x0A,0x08
0x44A4,0x2C,0x37
0x44A6,0x2C,0x37
0x44A8,0x2C,0x37
0x44AA,0x2C,0x37
0x44B4,0x2C,0x37
0x44B6,0x2C,0x37
0x44B8,0x2C,0x37
0x44BA,0x2C,0x37
0x44C4,0x2C,0x37
0x44C6,0x2C,0x37
0x44C8,0x2C,0x37
0x453D,0x1B,0x18
0x453E,0x1B,0x18
0x453F,0x15,0x11
0x4540,0x15,0x11
0x4541,0x15,0x11
0x4542,0x15,0x11
0x4543,0x15,0x11
0x4544,0x15,0x11
0x4549,0x01,0x00
0x454A,0x01,0x00
0x454B,0x06,0x04
0x454C,0x06,0x04
0x454D,0x06,0x04
0x454E,0x06,0x04
0x454F,0x06,0x04
0x4550,0x06,0x04
