exp_ms,R_mean,R_var,Gr_mean,Gr_var,Gb_mean,Gb_var,B_mean,B_var
0.4,214.352,11.5961,227.507,22.4325,227.776,22.54,216.173,13.5839
0.4988,216.05,9.6508,230.717,13.8063,230.991,13.5887,218.082,10.5939
0.6219,219.913,11.9587,238.089,20.2895,238.341,19.6847,222.41,13.3904
0.7755,225.022,14.8356,247.994,28.4109,248.159,27.6074,228.134,16.8354
0.9669,231.354,17.6746,260.306,34.8977,260.437,34.6342,235.227,20.1324
1.2056,239.194,18.5485,275.544,31.9925,275.666,32.4456,243.996,20.5803
1.5033,248.923,22.3353,294.395,39.6513,294.611,39.6719,254.941,24.7124
1.8745,261.077,27.3653,317.968,51.0895,318.202,50.7587,268.565,30.8006
2.3373,276.39,34.3711,347.721,68.9186,347.923,68.5382,285.765,39.0038
2.9144,295.387,39.6886,384.863,78.5977,384.952,77.3287,307.084,44.7905
3.6339,319.012,49.3038,431.115,99.6799,431.091,99.3547,333.644,55.6945
4.5311,348.384,60.4453,488.571,123.1413,488.474,123.4264,366.56,68.3383
5.6498,384.929,74.4448,559.862,151.3073,559.878,151.0082,407.671,84.4941
7.0448,430.107,90.9585,647.527,178.6961,647.727,178.6637,458.524,102.2444
8.7841,486.47,112.8416,756.572,223.3642,756.794,223.9763,522.018,128.0817
10.9529,556.776,138.8616,891.969,272.2679,892.411,271.8169,601.106,157.4922
13.6572,644.763,171.1635,1060.972,328.6678,1061.529,326.5305,699.741,192.182
17.0291,754.432,211.1259,1271.36,404.3343,1271.742,403.7734,822.475,236.1903
21.2336,889.705,260.2937,1530.386,494.4566,1530.825,495.4395,974.31,292.6012
26.4761,1058.605,322.9186,1852.475,610.4125,1853.057,610.9143,1163.262,361.1673
33.0131,1266.97,396.2846,2249.744,748.2712,2250.489,748.119,1396.631,441.8101
41.164,1524.324,486.3544,2740.426,918.3991,2741.468,920.2771,1684.869,543.3901
51.3273,1844.749,601.5928,3349.944,1116.743,3351.247,1113.227,2043.641,671.9357
64.0,2241.809,742.6059,4034.205,514.466,4034.26,506.709,2488.783,829.4192
