exp_ms,R_mean,R_var,Gr_mean,Gr_var,Gb_mean,Gb_var,B_mean,B_var
0.4,217.779,14.4097,224.045,17.9348,223.583,16.9995,209.56,7.785
0.4988,219.95,11.4164,226.969,12.3001,226.405,12.0387,210.739,7.3019
0.6219,224.731,14.6931,233.369,16.4884,232.754,17.4743,213.345,8.7253
0.7755,231.01,18.9235,241.78,22.6042,241.258,24.8581,216.759,10.5138
0.9669,238.762,22.757,252.187,28.2742,251.849,30.5623,220.962,12.506
1.2056,248.293,22.0875,265.046,26.6823,264.807,27.843,226.165,13.5365
1.5033,260.168,26.5171,281.161,33.9019,280.847,34.0965,232.616,16.1831
1.8745,274.981,33.927,301.252,45.2537,300.777,45.4082,240.637,19.7822
2.3373,293.55,41.1877,326.49,55.4673,325.971,56.8076,250.709,23.3612
2.9144,316.646,47.7417,357.736,64.4719,357.444,67.5271,263.185,27.7478
3.6339,345.429,60.5545,396.756,82.9178,396.884,86.8258,278.786,34.0405
4.5311,381.297,73.5584,445.386,101.5723,445.918,103.8068,298.231,41.1668
5.6498,426.133,91.8777,506.345,129.6337,506.998,129.1917,322.594,50.6522
7.0448,482.125,112.3201,582.506,158.745,582.947,155.8334,353.064,61.5525
8.7841,552.02,138.3347,677.538,192.516,677.584,188.9316,391.157,75.689
10.9529,638.94,171.9561,795.324,238.114,794.84,233.8881,438.59,94.3527
13.6572,746.536,210.1372,940.834,287.3572,939.936,289.7422,497.397,115.7153
17.0291,879.639,258.3507,1120.039,347.5504,1119.253,350.0173,570.056,142.6634
21.2336,1045.702,319.4143,1343.472,426.3587,1342.679,427.6621,661.148,176.3604
26.4761,1250.457,393.9078,1618.413,525.5284,1617.659,530.2049,773.475,218.2638
33.0131,1504.746,481.3101,1960.272,646.2381,1959.411,641.7471,913.638,268.7949
41.164,1817.824,590.9829,2381.241,794.1313,2380.109,791.0708,1086.779,332.1712
51.3273,2207.427,731.1027,2905.199,975.0939,2903.951,977.2783,1302.626,408.3938
64.0,2690.73,895.7439,3549.101,1131.6276,3547.078,1132.565,1570.355,501.1457
